,prompt
12,"I'd love to give these guys a better review, because they were very friendly and professional.  However, I was very dissapointed with the service I received.  I'll type the one sarcastic comment that I can't get out of my head and then I'll get to the more substantial feedback.  I thought a detail was supposed to be a little more DETAILED.

Here are the positives, because I want to give credit where credit is due.  The guys come to you and are very polite.  They were a little delayed, but called to let me know which I appreciated.  Also, they do a great job at steam cleaning the carpets and the exterior wax job was awesome.

On to the negatives.  When I came out to see the work they did, I immediately noticed several smudges in the interior which they cleaned after I pointed them out.  Also, I noticed a scratch on the passenger side leather seat and a hole punched in the carpet near the pedals.  Anyone who knows me knows that I am a DETAIL oriented person.  Those defects were not present in my car prior to this job.  To add to this bit of a let-down, a day later my boyfriend and I noticed that they didn't even touch my trunk!  They didn't even bother to vacuum it out!

When you advertise on your website ""showroom quality,"" I expect showroom quality.  Overall review: good job on the exterior, attention to detail in the interior was very poor.  I am really dissapointed that the attention to detail just wasn't there.  I was expecting so much more from a detail job.

###

"
13,"Recently moved back to Mesa, I have been on the hunt for a place to get a good sandwich and fresh bread. This place now tops my list of places in the East Valley to get a good sandwich. My first sandwich was the Atlantic Haddock Provencal. A sandwich made with seared, lightly breaded haddock, sliced hard-boiled egg, fresh basil, romaine lettuce, tomato, Provencal tartar sauce on a grilled Brioche roll. The brioche was amazing. It was light and fluffy. The haddock was perfectly cooked with just the right amount of breading, and the vegetables were fresh and in perfect proportions as to not overpower the bread and haddock. Sometimes when you go to a sandwich shop they overload it with everything else that the meat and bread are just there to accessorize the vegetables and sauce. This was perfectly done. The atmosphere is pleasant and open with nice music as the light smell of fresh bread in the background salivates me. This is a must-visit lunch time destination. Dinner review shortly.

###

"
14,"I just got back from an Arizona spring training vacation, and one of the highlights was definitely the Desert Botanical Gardens.  We came really close to skipping on a visit altogether because it was 5:00pm, but decided to give it a shot...it was worth it!  I was a little disappointed that the Butterfly Pavillion had closed for the day at 5:00pm, and several walking areas were being used for weddings/receptions (who could blame these people??) but still got to see a lot of beautiful desert plants and wildlife.  We managed to get in for free, not sure if it was because of the time of the day or all the people just walking in for the weddings though, which totally made the park that much more fun.  I am not sure I would have gotten as much enjoyment out of it if I'd had to pay $5 to get in...

The little desert rat-sqirrels, and rabbits were totally fun to try to find hiding in the many different plants and burrows.  I felt like a little kid ooh-ing and ah-ing at the different varieties of cacti and desert wildflowers, and have to give this place the ultimate rating .  If you're ever in Arizona, please give this place a try, it's very well put together and a beautiful site to see.

###

"
15,"I loved this little slice of heaven.  Reasonable prices, tiny dining room, very personal service.  Pablo was laid back, but with only 4 couples in the small establishment, he did a great job of making sure we were taken care of.

###

"
16,"What a load of absolutely hideous, uninteresting crap.

Take every single one-star review written by Yelpers below, copypaste them here and you will have a far more eloquent summary of my feelings on this place than anything I can come up with.

I have no reason to ever come here. Certainly not free will. The one time I did come here I was forced to by a friend who was meeting another friend.

###

"
17,"Other then the chips and salsa (5 stars for salsa) the food is good, but not so much that I go out of my way to eat there. The fajitas are delish, with mushrooms and the meat always tender, but the price makes me cringe. At over $20 there are so many other places I rather eat. I usually opt for a cheese crisp with green onions and green chilies and a side of guacamole (which is always yummy but pricey) and I still pay for all that $15 plus what ever we are drinking.... I love the overly rustic atmosphere, but it really could use some updating and maybe a good scrub.... Some of the servers are not the friendliest, but these are mostly the family that work there and have been there forever, so don't take it personally....
But overall it is a Scottsdale landmark that is fun to bring out of towers to and the food is overall good.

###

"
18,"I love this restaurant (even though it's a chain and I can hear my brother saying it's just a ""glorified Red Lobster""). 

I ordered the Crab and Lobster Bisque soup and am drooling thinking about how much I wish I could eat it right now. For my entree I ordered the Atlantic Salmon (stuffed with crab, shrimp, and brie cheese) which was unbelievably amazing. I also had some scalloped potatoes which was basically in the shape of a brick covered with cheesy goodness. I wanted to eat the apple pie for dessert because it looked so delicious, but could barely breathe after eating all that food. 

The service was outstanding, although the manager stopping by the table several times throughout dinner was annoying. 

I can't wait to come back here.

###

"
19,"The pizza is my favorite in Phoenix.  It is light, airy and tasty and does not give you that ""I am reading to explode as my cotton mouth is making me drink two liters of water every half hour"" feeling.

The ingredients are fresh and delicious.  

I am hooked!

###

"
20,"I have visited MacAlpine's a few times, and every time I have been very pleased with both the food and the service.  The wait staff and the owners are always very friendly and helpful and the food, although nothing fancy, is always good.  I love the atmosphere of this restaurant as well as the neighboring thrift shop that is fun to browse while the food cooks.  And the egg cream sodas are delicious!  Not to mention visiting a piece of Phoenix history at the same time - I love it!  The only downside to this place? I wish they were open later into the evening...

###

"
21,"I've never eaten at this location; both times I've had it was to-go. The first time I had a pulled pork sandwich, and a side of the beans. The pork was extremely dry and tasteless without the sauce. The sauce I found was overly seasoned. And the beans had way too much pepper. 

The second time I had HB's was a work lunch that we had this delivered. Once again, the pork was completely dry, but not as dry as the pulled chicken, which my coworkers complained about. 

I prefer Hap's BBQ over this place for sure.

###

"
22,"The actual restaurant is fine, the service is friendly and good.

I am not going to go in to the food other than to say, no.

Oh well $340 bucks and all I can muster is a no.

###

"
23,"I used to frequent the Lost Leaf almost daily starting the day they opened, unfortunately I cannot say the same anymore. I used to love the refrigerator full of beers, the music, and the cool little home, not to mention the biggest thing, the promise of a full bar. Now, everytime I go there it's full of douchebags, they are out of the beer I want, and the music has somehow become sucky. Perhaps the biggest kicker... there is still no full bar! The servers are surly kids, who have the audacity to tell you were you cannot stand, seemingly forgetting they work in the hospitality industry. If this were a city with a ton of good bars, that would never fly. But since they are one of the only games in the area, most people go back just out of convienence. The last time I was there, we coaxed a bum to dance to 1920's tunes that were being played out of the treehouse out front. That was about the only redeeming quality. And I swear if I see one more dude with girls jeans trying to look cool with a bomber of the worst beer imaginable I'm gonna snap.

Thanks for ruining what could have been an awesome hang out spot guys.

###

"
24,"Probably the most overrated place in the Phoenix area. There pizza tastes way too much like their canned tomato sauce and there is always a wait to be seated. 

That being said there food overall is OK. There meat salad and cal-zones are good and the servers are friendly. For all the people out there giving it more than 3 stars: try other pizza places like spinatos, la grande Orange, pizzeria Bianca.

###

"
25,"Pupusas?? As a hardcore Mexican food enthusiast I was intrigued by the concept but barely able to figure out how this fascinating dish was pronounced.  I am proud to say that I am a HUGE fan of pupusas now.  

Salvadoreno popped up in a search of mine to find a low-key, nice Sunday night place to relax and enjoy some food.  It definitely was worth the visit to an interesting part of Mesa.

The restaurant is very similar to a lot of Mexican food restaurants anyone who has lived in Phoenix will be familiar with.  One room with several tables and a counter with interestingly-named dishes posted behind it.  The waitress was very friendly, but I will say that knowing a little Spanish helped.  My girlfriend and I both ordered the Pupusa combo platter, real risky based on other reviews - I know.  I went with Pollo and the revuelta mixed with pork, cheese and beans.  She had the chicken as well with carne asada.  This little dish is fantastic!  I think next time I'll just stick with getting two pupusas because I was extremely full and did NOT need to add rice and beans to the mix (although those were good too.)

The only disappointment was the fact that Independence Day was on the TV in Spanish, but the volume was too far down to hear.  I'd love to hear the voice-over actor for Will Smith busting out a ""Bienvenidos a Tierra, P***!""

On a more serious note, I look forward to heading back here as soon as possible.  I'd love to try the Ceviche, as it's on the Best of Phoenix list, and there are a few other dishes (think breakfast) that looked intriguing.

###

"
26,"The food here is awesome every time I come here we have a great time And the waitress kimberly Couldn't ask for better waitress

###

"
27,"OK, I've decided that other coffee shops sell swill. I think about Dazbog coffee in a dreamy sort of way, like unstressed people think about sex. I mourn often that they open so damn late in the morning. Seriously, I would be there every day... 

The chocolate cappuccino rocks my world and perks me right the hell up, even on the mushiest afternoon. No bitterness, not overly sweet, just blissful- in an I've-just-been-bitch-slapped-by-caffeine sort of way, of course. 

Oh, and the sandwiches I complained about? Replaced by real deli looking ones in clam-shells. Far more appetizing. But what the hell do I need a sandwich for when I can have a giant red velvet cupcake? 

Don't make me break out the voodoo, Dazbog. Just open at 6:00 am like any other coffee shop and we'll be BFFs.

###

"
28,"My boyfriend and I were in Arizona on vacation for a wedding. The food was better than the average deli and they give you a free cookie with your order too. It is a shame they don't have these in malls near me. Although I read on their website that they have one at the Galleria which would have been nice when I lived in Davis, CA for college. 

Shopping really works up an appetite and this satisfied it well. and light enough not to ruin a dinner as we had a wedding to attend later that evening.

###

"
29,"I stopped in one afternoon and ordered some baba and a chicken salad. The baba was good, and served with a ton of pita quarters. The salad was good too, except that most of the chicken was burnt. 
The cashier was pleasant and must be related to the guys doing the cooking. They were giving her a hard time about a male customer who I guessed must come in a lot and she was giving it right back to them! Kinda funny. I will definitely be back for takeout and lunch again while shopping. I will go for the gyro salad next time though.

###

"
30,"I had been craving sushi steadily for about two weeks, so I decided to try somewhere new. This place happens to be just across the street from my work and the reviews on here were a vote of confidence. 

I had the cherry blossom roll and rainbow roll, shared edamame, and hot green tea. The cherry blossom roll was good, not amazing, but good. The fish was fresh enough, and I did like the eel sauce drizzled on it. The rainbow roll was much less rainbow than I'm used to. The rainbow roll did have a bit of a fishy taste, and the whitefish on it was a pale yellowish brown color, and not as moist as it could have been. The crumbled macadamia nuts were and interesting and kind of fun garnish. The edamame was tasty, not over cooked, but could have used a little more salt. The green tea was boiling hot, with the kind of walnutty aftertaste you get from good green tea, I was disappointed it came in a single glass, not in a tea pot diffuser with a teacup like at most restaurants.

My girlfriend had pork katsu, the sauce drizzled on it was sweet and vinegary, but not too overwhelming. Gauging from the fact that she ate all of it I would assume it was pretty good. The salad that came with it was a bit strange, iceberg lettuce and a cream sesame dressing. The miso soup on the side was better than the little packets I get at the store, but didn't taste home made. It was not too salty, but the tofu must have been dehydrated, it was in tiny little shriveled squares on the bottom of the bowl. 

The waitstaff was very attentive and friendly. It wasn't too busy when we went, about 5pm. The music was typical pop music, but thankfully unlike some places (RA for instance) its not blaring. 

I would say its definately not the best sushi I've ever had, not even the best I've had in arizona, but it was ok. The rainbow rolls at kobe are better.

###

"
31,"I love Chez Nous for the dancing, the live music is always great, but this past Friday I was really disappointed.  The cover charge has been raised to $7, the drinks were weak, and I got charged $9 for a Three Olives and Coke.  Combine that with being cash only so getting hit for $3 at the ATM inside the bar, and after one poor drink I was already at $20.  Maybe it's because I've gone back to being a broke college student, but I found the whole experience disappointing.  It seems like a few articles in the AZ Republic recently and the prices are flying through the roof.  So for now, I think I'm going to take a break from our relationship... sorry Chez Nous

###

"
32,"The only place I go for a nice lunch on Mill. Two words: Beet Salad. Thank me later.

###

"
33,"I've always said if the guacamole, chips and salsa aren't good, the food is not likely to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  Rest of the food was just okay but for a restaurant in the Biltmore I expected so much better.  Just as a note, when it comes to Mexican food, I'm super critical.  This place will probably get a higher ratings from people of the Midwest.

###

"
34,"just say no.

this place is truly awful. 
too bad it's taking up valuable space on monroe.

###

"
35,"There are no words to express the value of the quality of service that you receive from  Tina Yragui's Hands 4 Healing  therapeutic overall body care.  The value  of knowledge of the body, the commitment of service, the excellence of research for each individual client. The degree that she possesses cannot be measured with a dollar amount because no dollar amount can beat this value. It is value what goes far beyond what you receive each and every time you see Tina.  

Tina is a healer and is dedicated to you. 

It just doesn't get any better!

Carol Taylor-Tassone
Erica Elizabeth Tassone

###

"
36,"This dry-rub barbecue was delicious. The ""sassy"" barbecue sauce was meh, but the sweet was good enough to make up for it.

###

"
37,"We had a large group and they honored our reservation with having the tables ready at our specified time as opposed to getting them ready when we arrived. We had a somewhat set menu. 

The tofu dumplings were delicious. Satay chicken was alright. 

We had a choice between 3 entrees. I want to give them higher ratings for their service, but the spiciness between the dishes were very inconsistent. You get to choose on a 1-5 scale and finding a dish that suited your desired spiciness was a hit or miss. Some people's 1-2 were super spicy and other's 4-5 weren't that spicy. (note: 5 is spiciest) 

Also, we had a huge mess with the bill where they put all the appetizers onto one bill for a table, and none on ours. It was quite a mess trying to figure that out. Also, their timing for food was so bizarre. By the time 1 table had basically finished their dinner then the rest of the meals arrived.  Then again, dealing with 40+ people is a lot.

###

"
38,"So yummy in my tummy. My sister and I went here for dinner and the food was as always-- very yummy. We had the marinated BBQ pork and the seafood hot pot at hot. We finished half the of the plates because they give you a lot. It would be better of the price wasn't as pricey. But overall, awesome service and yummy food! We will be back!!

They first serve you lil condiment plates from seaweed to kimchi (spicy marinated cabbage that has been fermentated). When they serve you your food, they will ask if you want egg in the soup-- of course!!! They crack it in front of you in the sizzling hot soup...drools. Serving you some extra rice for the soup and pork. We had to pack to go boxes because it was a lot of food. 

Today, we went again for Father's Day and our family agreed this was so yummy. We had the BBQ pork again with Dumpling Tofu soup (""Yum-O"" Rachael Ray) and Bibimbap with rice! The Bibimbap was okay but everything was excellent. Our family of five finished nearly everything. :D so GOOOOOD! Going to come back soon! 

Check this place out!

###

"
39,"Great brewery and open atmosphere!  Had the Buffalo Chickens sandwich.  It was great.  Washed it down with a Sunspot Golden Ale which was awesome.  Will return to sample the other beers.  Making a reservation online worked like a champ.

###

"
40,"Tacos, tacos, tacos......how can something so simple be this great? Having seen this place being featured on DDD we had to try it out and it was worth every penny! I have a thing for always trying the ""odd"" menu items so I've tried the tongue tacos and cabeza (head/cheek) burrito and to me there is nothing better on the menu! This place is rather small which makes it perfect if you're there with some friends or a special someone! My friend loves the shrimp ceviche though I havent tried it myself. Go to this place for some great authentic, local and quite tasty food.......probably some of the best the east alley has to offer!

###

"
41,"This past weekend I went to The Vig Uptown twice because it was that  good. This is a perfect place to hangout with friends and get a bite to eat with a really great drink menu. What I love most about this place is that it is very modern and the people are pretty chill. The cherry on top is the games they have to offer, Bocce and Bags!

Drinks
1. Moscow Mule is a perfect nice refreshing drink to order, made with Vodka/Ginger beer and fresh lime juice. 
2. If you bring in your own ""pimp cup"" any size, They will fill it up with the mixed drink called Pimms Cup.

Food
1. VigAzz burger is my favorite food item to order because the pretzel bread is amazing.
2. Thai spicy Vings here are probably one of my favorite wings that i've ever had so I highly recommend getting them.

###

"
42,"Phenom. 
The food is always fresh and well seasoned. A good selection of Tequila. 
Every meal that I've had has been just fantastic. The carnitas and the fish taco's are very well prepared. It's fresh, the beans are fresh as is the rice. 
It averages about $10 a plate but worth it. This is how really good Mexican should be. 
The salsa bar is excellent: you have about 5 different types of salsa from which to choose. All freshly made. 
I can't say enough about the flavoring of the meats and fish. 
Decor is a somewhat minimalist/modern, probably to attract a happy hour crowd. They have TV's for your viewing pleasure. 
Service is friendly and quick. 
I've only been to the Chandler location but will start going to the one in Scottsdale. 
Good food. You won't be disappointed.

###

"
43,"Good, but the salad was not as good as remembered.  Still think its a great spot in scootsdale!

###

"
44,"Oh, YEAH!!! Coming to Scottsdale. I have used RedSeven in Tempe and Mesa and excited to know that they are coming to Scottsdale. I work on the roads throughout the valley and have a lot of customers in Scottsdale that I continue to brag to them about RedSeven's Super Quick Service. Getting the job done quick and right and guaranteed to be the fastest to get you back to work!!!! Oh, and they talk to you so you can understand, not computer talk. Can't wait for Scottsdale!!!!

###

"
45,"I've been hearing about these cheesecakes from my husband and his incessant twitter following and I was really excited to try some of the goods at the market this past Saturday.

We finally woke up early enough on a Saturday morning to hit up Matt's and then peruse the market before it got too hot.  We made our way over to the cheesecake table and then debated between 10 or so flavors.  He had key lime and chocolate chip out to sample and I decided to try the key lime.  I was amazed at how natural it tasted.  There was nothing artificial about it, it just tasted exactly like it should.  These are very good, very simple cheesecakes.  I ultimately went with the peanut butter chocolate chip which is extremely tasty.  There are a bunch of different sizes to choose from, all at very fair prices.  YUMMY!

###

"
46,"A definite favorite in the neighborhood.

The happy hour menu is always interesting and good. In several visits I've never had anything that wasn't delicious, and the beers on special are uniformly impressive.

###

"
47,"We went here for Mother's Day based on the positive reviews and had a pleasant experience.  Good food, good service, good ambiance.  We came back here for Father's Day and had a very unpleasant experience; the worst display of management I have ever encountered!  Apparently our order was never put in from the server or there was some sort of ""computer malfunction' they claimed, but we waited at the table for 45 minutes after ordering, no food, nothing.  The server obviously recognized the mistake and kept checking in with us and apologized for the unusually long wait, (did I mention the restaurant was half empty, I wonder why!) and she did offer to comp our coffee drinks.  But the infuriating part was when we finally complained to the manager because we could not figure out why the ridiculously long wait, she came over to our table, did not properly introduce herself, sat down and pointed to the man-held computer system and TOLD US we had only been waiting 15 minutes.  Really?!?  You're coming over to tell us how long we have been waiting???  It was so rude and disrespectful, she was trying to argue her point to us which clearly showed that the server did not put in our order immediately which is probably why the server apologized to us umpteen times!!!  It was the most ridiculous display of what NOT to do as a manager.  I have been in management and customer service for over 12 years and this was clearly a Management 101 mistake.  She never apologized or tried to rectify the situation, but when you come out to your customers in fighting mode you really cannot rectify that! 

 Needless to say, unless this restaurant starts to provide better training to their managers and team members, or hires a new manager, we will NOT be coming back here again.

###

"
48,"This my favorite Chipotle ever!!! It's so consistent and good! No hormones in the meat makes this ""fast"" food an A+ for me!!! Yum!!!

###

"
49,"great 3D Imax theater,,,see the Transformers...very spectacular

###

"
50,"I came, I Kiltlifted til the wee hours, caught up with a friend who was in town for a few days and staying nearby. Decent enough bar, was able to talk above the music without yelling, no asshatness witnessed and they have Kiltlifter. Service was attentive, a team effort, yet a bit robotic. They seemed a bit overstaffed, and well , just bored. Did I mention the Kiltlifter?

###

"
51,"After reading the great reviews and getting plenty of recommendations to try Fez, I had the awesome opportunity to test it out last night at my first Yelp event and I am in love!  From the bright decor to the delicious food to the amazing service (I mean everyone who works there actually looks like they enjoy their job and are having a good time!) this place is 5 star.  

I love the cozy lounge feel and could easily see myself enjoying several hours of delicious cocktails and conversation with friends.  This would be a great spot for dinner, drinks, or even an event (another Yelp event please!).

Highlights:
Tasty drink menu
Fabulous wicker tables and trendy IKEAish style
Great part of town
Sexy servers...dang

Impress someone: Take them to FEZ!

###

"
52,"Service was horrible and food was mediocre at best~ won't be going back

###

"
53,"This place really made a terrible situation as easy as possible.  Our cat was hit by a car or beaten, and my husband found her immobile and crying horribly in pain.  We rushed her to the clinic, and the doctor saw her right away.  She told us our options, but was very upfront about the liklihood that our kitty would pass no matter what we did.  She didn't pressure us one way or another, and left the room so that we could talk privately and make our decision.  My husband asked if they could give her some pain meds while we talked about it, and they gave her some immediately.

Once we made our difficult decision to put our kitty down, she brought the cat into a private room with us so that we could say goodbye.  She left us alone and gave us as much time as we needed.  She also let us be present in the room when they gave her the final shot.  At all times the doctor and the techs were compassionate and very respectful.  I was crying and they were very sensitive to my feelings.  They treated my little kitty so gently even after she had passed.  They even sent a sympathy card to our house a few days later.  I really appreciated how they helped us through this difficult time, and I would definitely reccommend them if anyone else is in a similar situation.

###

"
54,"Enjoyed sitting outside and the barra viejo shrimp dish.  I didn't find anything ""to die for"" but it's good.  More importantly it was a nice evening and I enjoyed the experience very much.  My waiter was very laid back and friendly.  I didn't feel rushed and was able to have a relaxed dinner.  Case in point- I'm usually a one-drink girl, but I had 2 that day.

###

"
55,"Very VERY average. Actually disappointed in the braciole. Kelsey with the pretty smile and form fitting shorts would probably make me think about going back and trying something different.

###

"
56,"Really nice jumping point for a good night in Phoenix. Crab Cake Sandwich was great!

###

"
57,"I waited 45min and ended up with a tiny gross little serving of tortilla with vegetable scraps thrown in it, served in a aluminum take-out box. The tables are folding tables, like the kind you play beer pong on. And they have pictures of kids and babies on the walls and signs asking people to send in pictures of their kids for the walls too, which has nothing to do with Asian/Mexican cuisine, it creeped me out.

###

"
